LOCATION,Quantity,METER NUMBERS,RATE/HR,TIMELIMIT,TYPE
Metcalf St.,34,1400-1433,$0.75 ,2 HRS,On-street
Mission Ln.,9,700-708,$0.75 ,2 HRS,On-street
N. School St. Frog Ln-Liliha,7,1007-1013,$0.75 ,2 HRS,On-street
N. School St. Nuuanu-Waikahalulu,6,1001-1006,$0.75 ,1 HR,On-street
Piikoi St. Kapiolani-Kamaile,16,"2983-2987, 2997-3007",$0.75 ,2 HRS,On-street
Pohukaina St.,60,3900-3959,$0.75 ,2 HRS,On-street
Poni St.,20,3201-3220,$0.75 ,2 HRS,On-street
Puniu St.,12,5500-5511,$0.75 ,2 HRS,On-street
Coral-Cooke,3,3547-3549,$0.75 ,1 HR,On-street
Cummins-Kamakee,7,3550-3556,$0.75 ,2 HRS,On-street
Rycroft St.,29,2782-2812,$0.75 ,2 HRS,On-street
S. King St. Kahuna-Kahoaloha,20,251-278,$0.75 ,2 HRS,On-street
Sheridan St.,25,3280-3305,$0.75 ,2 HRS,On-street
South St.,36,"2142-2144, 2152-2180, 2183-2186",$0.75 ,2 HRS,On-street
South St.,15,"2145-2151, 2187-2194",,1 HR,On-street
University Ave.,38,1435-1472,$0.75 ,2 HRS,On-street
Waialae Ave.,67,May-70,$0.75 ,1 HR,On-street
Waimanu St.,42,1901-1961,$0.75 ,2 HRS,On-street
Ward Ave. Queen-Ala Moana,37,2008-2044,$0.75 ,1 HR,On-street
Ward Ave. S. King Kapiolani (Ewa),7,2001-2007,$0.75 ,2 HRS,On-street
Young St.,56,2823-2878,$0.75 ,2 HRS,On-street
CIVIC CENTER LOT,73,H1-H73,$1.50/HR,5 HRS,Lot
HPD LOT,10,P1-P10,$1.50/HR,2 HRS,Lot
 KAILUA LOT ,81,L1-L83,$0.75/HR,3 HRS,Lot
KAILUA LOT,58,L91-L147A,$0.75/HR,5 HRS,Lot
KAILUA ELDERLY LOT ,35,L148-L182,$0.75/HR,3 HRS,Lot
KAILUA ELDERLY LOT,105,L183-L287,$0.75/HR,5 HRS,Lot
KAIMUKI LOT,50,K7-K56,$0.75/HR,2 HRS,Lot
KAIMUKI LOT,56,K58-K110C,$0.75/HR,2 HRS,Lot
KAPIOLANI LOT,271,Y1-Y271,$0.50/HR,4 HRS,Lot
KUHIO LOT,58,D1-D58,$1.50/HR,5 HRS,Lot
PALACE SQUARE LOT,38,E1-E38,$0.75/HR,1/2 HR,Lot
RIVER LOT,70,J7-J78,$1.50/HR,2 HRS,Lot
SALT LAKE LOT,19,C6-C24,$0.50/2 HR,2 HRS,Lot
